,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1981-03-03,0.11774600297212601,0.11774600297212601,0.1171879991889,0.1171879991889,0.0919903963804245,16172800,AAPL,0.82230586,0.24108561873435974,0.14909522235393524,0.0
1981-03-12,0.10044600069522858,0.10100399702787399,0.10044600069522858,0.10044600069522858,0.07884825021028519,59248000,AAPL,1.4526602,0.9333202838897705,0.8544720336794853,0.0
1981-04-07,0.11551299691200256,0.11551299691200256,0.11495500057935715,0.11495500057935715,0.090237557888031,10684800,AAPL,0.929609,0.32774335145950323,0.23750579357147222,0.0
1981-04-14,0.12444200366735458,0.125,0.12444200366735458,0.12444200366735458,0.09768463671207428,6652800,AAPL,3.4080598,2.7817862033843994,2.684101566672325,0.0
1981-04-15,0.11886200308799744,0.11886200308799744,0.11830399930477142,0.11830399930477142,0.09286642074584961,34048000,AAPL,0.8884531,0.28606271743774414,0.19319629669189453,0.0
1981-05-06,0.12276799976825714,0.12276799976825714,0.12221000343561172,0.12221000343561172,0.09593261033296585,18950400,AAPL,8.49959,8.041627883911133,7.945695273578167,0.0
1981-05-27,0.14732100069522858,0.1478790044784546,0.14732100069522858,0.14732100069522858,0.11564423888921738,149497600,AAPL,0.8005273,0.28311529755592346,0.16747105866670609,0.0
1981-05-29,0.1478790044784546,0.1484380066394806,0.1478790044784546,0.1478790044784546,0.11608225852251053,59382400,AAPL,23.199257,23.798263549804688,23.682181291282177,0.0
1981-06-02,0.141183003783226,0.141183003783226,0.140625,0.140625,0.11038798093795776,40432000,AAPL,3.075825,3.004439353942871,2.8940513730049133,0.0
1981-06-05,0.14174099266529083,0.14174099266529083,0.141183003783226,0.141183003783226,0.11082609742879868,57680000,AAPL,3.2745216,2.907700300216675,2.796874202787876,0.0
1981-06-15,0.14508900046348572,0.14508900046348572,0.1445309966802597,0.1445309966802597,0.11345414817333221,143763200,AAPL,0.95594376,0.29448041319847107,0.18102626502513885,0.0
1981-07-21,0.10770100355148315,0.10770100355148315,0.10714299976825714,0.10714299976825714,0.08410525321960449,31942400,AAPL,0.6245172,0.06745973974466324,-0.016645513474941254,0.0
1981-08-05,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.09067555516958237,17494400,AAPL,0.88722765,0.26584064960479736,0.175165094435215,0.0
1981-08-07,0.11272300034761429,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.0884854719042778,9206400,AAPL,0.6377522,0.08892349153757095,0.00043801963329315186,0.0
1981-08-25,0.08649600297212601,0.08705399930477142,0.08649600297212601,0.08649600297212601,0.067897729575634,40700800,AAPL,0.6641569,0.060888674110174186,-0.007009055465459817,0.0
1981-09-01,0.09542399644851685,0.09598200023174286,0.09542399644851685,0.09542399644851685,0.07490603625774384,37027200,AAPL,0.6996642,0.08892349153757095,0.014017455279827118,0.0
1981-09-10,0.08872800320386887,0.08928599953651428,0.08872800320386887,0.08872800320386887,0.069649837911129,34809600,AAPL,0.6877118,0.10118883103132248,0.03153899312019348,0.0
1981-09-15,0.08314699679613113,0.08314699679613113,0.08258900046348572,0.08258900046348572,0.06483080238103867,19510400,AAPL,1.0216899,0.4136364758014679,0.34880567342042923,0.0
1981-09-17,0.07924100011587143,0.07924100011587143,0.07868299633264542,0.07868299633264542,0.06176469475030899,19376000,AAPL,0.73446935,0.20537832379341125,0.14361362904310226,0.0
1981-09-29,0.06752199679613113,0.06808000057935715,0.06752199679613113,0.06752199679613113,0.05300353467464447,94684800,AAPL,7.651017,7.440922737121582,7.387919202446938,0.0
1981-10-02,0.07366099953651428,0.0742190033197403,0.07366099953651428,0.07366099953651428,0.05782253295183182,45046400,AAPL,0.66676503,0.05913655832409859,0.0013140253722667694,0.0
